Nombre,Categoría
Nata spray 12x500g,Nata
Bases de pizza s/gluten 8x2 unid.,Sin gluten
Churros s/gluten 12x150gr,Sin gluten
Empanadillas s/gluten 12x300gr,Sin gluten
Lasaña carne s/gluten 12x300gr,Sin gluten
Pizzas s/gluten 8x380gr,Sin gluten
Clara de huevo brik 8x1kg,Huevos
Huevos cocidos pelados 70 unid,Huevos
Huevos líquidos 1x10L,Huevos
Huevos morenos M 1x30 docenas,Huevos
Queso barra gourmet 1x3kg,Quesos
Queso feta 1x2kg,Quesos
Queso fresco burgos 2x1kg,Quesos
Queso mes curado,Quesos
Queso mozzarella 50/50,Quesos
Queso rodez 4x2'5kg,Quesos
Queso rulo cabra riblaire 2x1kg,Quesos
Aceite oliva sobres 250x10ml,Monodosis
Ketchup sobres 252unid,Monodosis
Mermelada porciones 120x20g,Monodosis
Miel porciones 120x15g,Monodosis
Mortadela pavo 2kg,Monodosis
Paté 4x750g,Monodosis
Patés surtidos 1x24unid,Monodosis
Solecitos 45x23g,Monodosis
Vinagre sobres 240x10ml,Monodosis
Ketchup bidón con dosificador 4600g,Salsas
Mayonesa bidón con dosificador 4600g,Salsas
Mostaza bidón con dosificador 4600g,Salsas
Ketchup 6x1900g,Salsas
Mayonesa 4x3600g,Salsas
Mayonesa campera 12x250ml,Salsas
Mayonesa ligera 4x3600ml,Salsas
Mostaza 6x1900g,Salsas
Salsa barbacoa 2kg,Salsas
Salsa brava 2kg,Salsas
Salsa cesar 4x1'850ml,Salsas
Salsa cheddar 2300ml,Salsas
Salsa cocktail 1'185ml,Salsas
Salsa guacamole 2300ml,Salsas
Salsa kebab millas 1'85ml,Salsas
Salsa papas bravas 4x1'85kg,Salsas
Salsa ranchera 4x3700ml,Salsas
Salsa taco 4x2300ml,Salsas
Salsa tártara 4x2kg,Salsas
Salsa vinagreta millas 4x1850ml,Salsas
Salsa yogurt 6x1'85ml,Salsas
Bocadito de patata 4x2'5kg,Patatas
Gnocchi de patata 1x10kg,Patatas
Gratinado de patatas 4x1'5kg,Patatas
Patata duquesa 4x2'5kg,Patatas
Patatas bravas 4x2'5kg,Patatas
Patatas caseras 4x2'5kg,Patatas
Patatas dado 4x2'5kg,Patatas
Patatas dippers 4x2'5kg,Patatas
Patatas dolar 4x2'5kg,Patatas
Patatas extra finas 5x1'5kg,Patatas
Patatas gajo con piel 4x2'5kg,Patatas
Patatas gajo sazonada 4x2'5kg,Patatas
Patatas julienne 4x2'5kg,Patatas
Patatas mammy 4x2'5kg,Patatas
Patatas parisinas 4x2'5 kg,Patatas
Patatas rellenas 4x1kg,Patatas
Patatas rosti 4x2.5kg,Patatas
Patatas sonrisa 12x450g,Patatas
Patatas surecrisp 5x2'5kg,Patatas
Bechamel 6x1kg,Preparados postres
Cheese cake 6x1kg,Preparados postres
Cremoso sabores 6x1kg,Preparados postres
Cuajada 1x6kg,Preparados postres
Flan chocolate 6x1kg,Preparados postres
Flan moka 6kg,Preparados postres
Gelatina diet 20x350g,Preparados postres
Gelatina 6x1kg,Preparados postres
Mousse chocolate 6x1kg,Preparados postres
Mousse 6x1kg,Preparados postres
Natillas chocolate 6kg,Preparados postres
Natillas 6x1kg,Preparados postres
Panna cotta nata 6x1kg,Preparados postres
Semifrio chocolate 6x1kg,Preparados postres
Semifrio queso 6kg,Preparados postres
Semifrio 6x1kg,Preparados postres
Semifrio tiramisú 6kg,Preparados postres
Sirope chocolate 6x1'2kg,Preparados postres
Sirope 6x1'2kg,Preparados postres
Tocinillo de cielo 6x1kg,Preparados postres
Yogupur 6x1kg,Preparados postres
Bolos portugueses 6x1'5kg,Repostería
Brazo gitano 4x700g,Repostería
Brigadeiros chocolate 6x1'6kg,Repostería
Churros lazo 2x2kg,Repostería
Gofres belga 126x25g,Repostería
Grande delicia sabores 3x2'5kg,Repostería
Leche frita 1x5kg,Repostería
Masa hojaldre 12/500 40x60,Repostería
Mini crepes rellenos manzana 1x150 unid,Repostería
Mini crepes rellenos cacao 1x150 unid,Repostería
Muerte por chocolate 6x2000g,Repostería
Pastel nata 75g x 24 unid,Repostería
Profiteroles nata 3kg,Repostería
Profiteroles trufa 3kg,Repostería
Tartas cuadradas 28 raciones,Repostería
Tartas redondas 10-12 raciones,Repostería
Yogurt 5kg,Repostería
Arándanos rojos 4x2'5kg,Frutas
Cerezas,Frutas
Dados de aguacate 1kg,Frutas
Dados de mango 1kg,Frutas
Frambuesas 4x2'5kg,Frutas
Fresas 4x2'5kg,Frutas
Frutos del bosque 4x2’5kg,Frutas
Grosellas 4x2’5kg,Frutas
Mango en cubos 1x1000g,Frutas
Moras 4x2'5kg,Frutas
Papaya cubo 10kg,Frutas
Piña cubo 10kg,Frutas
